,TITLE,PRICE,LOCATION,ROOM,AREA
91,BOSTANCI ŞENESENEVLER'DE MİNİBÜSE ve METROYA YAKIN 2+1YENİ DAİRE,10300000,"Suadiye, Kadıköy",4+1,165 m²
92,,290000000,"Fenerbahçe, Kadıköy",,2987 m²
93,NAUTILUS AVM KARŞISI GİRİŞKAT İÇERİSİ YAPILI 2+1 95m² DAİRE,12000000,"19 Mayıs, Kadıköy",1+1,180 m²
94,ACIBADEM SİTESİNDE 6+1 DUBLEX DAİRE,5975000,"Suadiye, Kadıköy",2+1,95 m²
95,CENTURY 21.SAHRA'DAN MİN.CADDESİ ÜZERİNDE İÇİ YAPILI 3+1,13950000,"Zühtüpaşa, Kadıköy",,212 m²
96,CENTURY 21.SAHRA'DAN E5 İLE MİNİBÜS ARASINDA İÇİ YAPIL 3+1 130M2,3750000,"Caferağa, Kadıköy",2+1,100 m²
97,MERDİVENKÖY DE SATILIK ARA KAT DAİRE!!,21500000,"Caddebostan, Kadıköy",4+2,300 m²
98,CENTURY 21.SAHRA'DAN ŞENESENEVLER'DE İÇİ YAPILI 3+1,8975000,"Suadiye, Kadıköy",3+1,130 m²
99,ALKAYA-KIZILTOPRAKTA SATILIK 2. DERECE TARİHİ ESER MÜSTAKİL EV,7395000,"Erenköy, Kadıköy",3+1,165 m²
100,KADIKÖY'DE SATILIK 2+1 DAİRE,6650000,"Göztepe, Kadıköy",3+1,150 m²
101,RESİM' DE NUHOĞLU KADIKÖY YENİTEPE 1+1 AKASYA MANZARALI DAİRE,4200000,"Koşuyolu, Kadıköy",,125 m²
102,KALAMIŞ MARİNAYA ÇOK YAKIN 3+1 SIFIR KAPALI OTOPARKLI,7000000,"Caferağa, Kadıköy",3+1,140 m²
103,ERENKÖY MİNİBÜS YOLUNA ÇOK YAKIN SATILIK 2+1 DAİRE,5250000,"Göztepe, Kadıköy",1+1,117 m²
104,KDV AVANTAJLI KOZYATAĞI ELİT SİTEDE HAVUZLU KATTA 5+1 GÜVENLİKLİ,6280000,"Bostancı, Kadıköy",3+1,190 m²
105,Suadiye Bağdat Caddesinde Deniz Manzaralı Satılık Daire,5450000,"Zühtüpaşa, Kadıköy",3+1,120 m²
106,GÖZTEPE ÖZGÜRLÜK PARKINA YAKIN KİRACILI 3+1 KOMBİLİ DAİRE.,240000000,"Kozyatağı, Kadıköy",,4172 m²
107,GÖZTEPE 1071KADIKÖY RESİDENCE DE 3+1 7/24 GÜVENLİKLİ HAVUZLU,9950000,"Bostancı, Kadıköy",4+1,160 m²
108,Ziverbey Minibüs Yoluna Cephe 230 m2 Geniş Ofis Katı,20000000,"Fenerbahçe, Kadıköy",4+2,230 m²
109,KADIKÖY ALTIYOL KUŞDİLİ CADDESİ ÜZERİNDE 500 M2 KOMPLE BİNA,13200000,"Suadiye, Kadıköy",4+2,230 m²
110,GÖZTEPE ÖZGÜRLÜK PARKINA ÇOK YAKIN SATILIK 3+1 DAİRE,10300000,"Suadiye, Kadıköy",4+1,165 m²
111,ANA CADDE ÜZERİNDE 260 M2 DÜKKAN,7295000,"Fenerbahçe, Kadıköy",2+1,82 m²
112,KADIKÖY SÖĞÜTLÜ ÇEŞME CADDESİNE PARALEL 90 M2 DÜKKAN,10300000,"Suadiye, Kadıköy",4+1,165 m²
113,KADIKÖY ÇARŞISININ HAREKETLİ YERİNDE KİRACILI 1000M2 KOMPLE BİNA,290000000,"Fenerbahçe, Kadıköy",,2987 m²
114,SAHRAYI CEDİT BAYAR CADDESİ ÜZERİNDE 100 M2 DÜKKAN,12000000,"19 Mayıs, Kadıköy",1+1,180 m²
115,ERENKÖY BAĞDAT CADDESİ ÜZERİNDE 40 M2 MAĞAZA,5975000,"Suadiye, Kadıköy",2+1,95 m²
116,KIZILTOPRAK BAĞDAT CADDESİ ÜZERİNDE 90 M2 OFİS,13950000,"Zühtüpaşa, Kadıköy",,212 m²
117,KADIKÖY ÇARŞISININ HAREKETLİ YERİNDE 110 M2 DÜKKAN,3750000,"Caferağa, Kadıköy",2+1,100 m²
118,KADIKÖY ÇARŞISININ HAREKETLİ YERİNDE 120 M2 DÜKKAN,21500000,"Caddebostan, Kadıköy",4+2,300 m²
119,ERENKÖY BAĞDAT CADDESİ ÜZERİNDE KİRACILI 60 M2 MAĞAZA,8975000,"Suadiye, Kadıköy",3+1,130 m²
120,ANA CADDE ÜZERİNDE BANKA KİRACILI 300 M2 DÜKKAN,7395000,"Erenköy, Kadıköy",3+1,165 m²
